id,depth,nlits,attempt,timeout,status,solve_s,conflicts,proof_bytes,proof_lines,proof_sha,checker,verify_s,verified,elapsed_s,when,tail
13,0,14,1,600.0,UNSAT,0.7,18097,1439188,,397866c9eee144b5726659a01e77e7c1fbf9de87f3170fd94c503ad0fbdd95f2,drat-trim,0.5,True,1.4,09:16:37,
0,0,14,1,600.0,UNSAT,0.8,18594,1480232,,2026229169da636bfa52d3123c7bb3ff0d5dd324fdb4264602a8043042815958,drat-trim,0.5,True,1.5,09:16:37,
3,0,14,1,600.0,UNSAT,0.9,23174,1602704,,85eeb9003a8ab0179a97c3ef481b462d6381fd0a95258f9e93ae7f983d1452de,drat-trim,0.6,True,1.7,09:16:38,
12,0,14,1,600.0,UNSAT,1.1,28256,1927897,,5510297a8ec3df5920f215f7e895fd5bd020436a2692d6ebcefbdf9771c84a3e,drat-trim,0.6,True,2.0,09:16:38,
1,0,14,1,600.0,UNSAT,1.1,29736,2096330,,19f0284c07e8297f21a67a46646c5b791ede330ab3542c14f539017a8fffbf57,drat-trim,0.7,True,2.0,09:16:38,
2,0,14,1,600.0,UNSAT,1.3,39312,2767556,,095c32decedee5e66c273533303e53cbb3bb9972aab2fda1839aa047f4dba75a,drat-trim,0.9,True,2.5,09:16:38,
4,0,14,1,600.0,UNSAT,1.4,39130,2610749,,310dd48e91a381158083d122bcc8bf9fc9b37d1a7bf9b6dfe9bba9fd6871e293,drat-trim,1.0,True,2.6,09:16:39,
8,0,14,1,600.0,UNSAT,1.8,51063,3683650,,a7aa451d6fd7fb4a4b1e25c77ba96282265a1bf0300cf909bc25fffb927c47d5,drat-trim,1.4,True,3.5,09:16:39,
9,0,14,1,600.0,UNSAT,1.9,49070,3936947,,d048e1c14ae751898a025d1030b2740f31c794c8d94df6ad330459efaca59854,drat-trim,1.4,True,3.5,09:16:39,
16,0,14,1,600.0,UNSAT,1.4,36528,2511740,,3253d74c9a47e7521d194b162f46aa8ee3a50e69fd0b8ffd29e1c616719eb721,drat-trim,1.0,True,4.1,09:16:40,
