id,depth,nlits,attempt,timeout,status,solve_s,conflicts,proof_bytes,proof_lines,proof_sha,checker,verify_s,verified,elapsed_s,when,tail
29,0,14,1,600.0,UNSAT,2.6,68454,4651535,,7504f87f1ef87765e497a73b1691bbf1587ab83776c406b09bc5016650877307,drat-trim,2.0,True,12.0,22:45:37,
14,0,14,1,600.0,UNSAT,6.2,135289,9788698,,8cf6c34ee6ad7cd6d744b229ac89361c3c5bfad7cc22226996daa908192b53a2,drat-trim,5.2,True,13.4,22:45:38,
39,0,14,1,600.0,UNSAT,1.5,39246,2600235,,e3fe5a0c8eae2c4f73ea51ccffc93037abc591cde816633ed7fd6a2c97d871bd,drat-trim,1.0,True,13.5,22:45:38,
48,0,14,1,600.0,UNSAT,0.8,18775,1541035,,6a538d94722e60521d16f2dd59e0712a172ca2831ccc403ef88b5a8ba5c6611f,drat-trim,0.6,True,14.8,22:45:40,
46,0,14,1,600.0,UNSAT,1.8,42952,2854457,,fa8a2d6dc3d62bfbe28ade4bc93e155646663b05481d72bb60a1c4046d5dfdf3,drat-trim,1.3,True,15.1,22:45:40,
19,0,14,1,600.0,UNSAT,6.7,140795,9711004,,189e19d30aa70e089ea17bbd40261785a265938d1a34a13b593055cc67ccbf62,drat-trim,5.2,True,15.3,22:45:40,
43,0,14,1,600.0,UNSAT,2.4,57798,4258139,,b7978919981e0576d61c04d44bf007a112145ca9ab5cf0ff506ae09e312d2eea,drat-trim,1.7,True,15.5,22:45:40,
41,0,14,1,600.0,UNSAT,2.6,61818,4042099,,9c8bc5a0ba257763b61f2fd01f19cbf51cf44e3f696a55f39f58daccdb0d2369,drat-trim,1.8,True,15.6,22:45:41,
50,0,14,1,600.0,UNSAT,0.3,8554,452321,,ba416b7a1332365125e46030ac79660167cb8b747ab0e7d55f5b74ddde047bca,drat-trim,0.3,True,15.7,22:45:41,
40,0,14,1,600.0,UNSAT,2.7,68507,4478716,,9f6f4bffacd77b9b09049b8c785789bccd34a90e7d36c12530c2ece88c795352,drat-trim,2.0,True,15.7,22:45:41,
42,0,14,1,600.0,UNSAT,2.7,67563,4476334,,6457252fbce659e5655156759135ef178fdeaddb2664d989761383ca21f8b77d,drat-trim,2.0,True,16.1,22:45:41,
45,0,14,1,600.0,UNSAT,2.4,62897,4083776,,c7a83775f4238624770f36ac694a04291e0aabfb33d2f459c0e6e2c1c9eb39a0,drat-trim,1.7,True,16.2,22:45:41,
49,0,14,1,600.0,UNSAT,0.8,18408,1490304,,f8b89d96096f7a2406339891241bdc303c38cd4c157f36be2989a578698d5182,drat-trim,0.6,True,16.2,22:45:41,
51,0,14,1,600.0,UNSAT,0.5,13061,811368,,4c46629cd10ed938e01cd8fe8f042b908b9a1a92584016e2590e7604f9be5893,drat-trim,0.4,True,16.3,22:45:41,
21,0,14,1,600.0,UNSAT,6.4,133820,9528875,,632687db53b5c7c3c3c7be4abaf8e533074e01a5f4cd35ecc8c47fc0380b4ab0,drat-trim,5.4,True,16.6,22:45:42,
44,0,14,1,600.0,UNSAT,3.1,72911,4728306,,214bee97d0c5ce2db8ad1b608d2f1da492c0a62670d1d374d3aec068f93e8c2d,drat-trim,2.2,True,16.7,22:45:42,
27,0,14,1,600.0,UNSAT,5.7,126704,9012252,,d0a768078b9eec22ec8363f4a4cd4b1422c74216648c9907d0f1dc9e5998178c,drat-trim,4.2,True,16.9,22:45:42,
53,0,14,1,600.0,UNSAT,0.9,23553,1651787,,e6478a934ae5c55f551ccc0d3c81b87406def4e45f7835365396f322911e2565,drat-trim,0.6,True,17.1,22:45:42,
54,0,14,1,600.0,UNSAT,0.9,22598,1528948,,c892a982541fd2859644bbaa74666d72b4a537d2df53b140b94dfea930000ee5,drat-trim,0.5,True,17.1,22:45:42,
